type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_wine_datasulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_id,alcohol_content,good_or_bad
white,6.1,0.32,0.24,1.500,0.0360,38,124,0.98980,3.290,0.42,12.40,7,58,medium,good
white,6.7,0.46,0.18,2.400,0.0340,25,98,0.98960,3.080,0.44,12.60,7,59,medium,good
white,6.3,0.22,0.43,4.550,0.0380,31,130,0.99180,3.350,0.33,11.50,7,60,medium,good
white,6.8,0.53,0.35,3.800,0.0340,26,109,0.99060,3.260,0.57,12.70,8,61,medium,good
white,6.8,0.18,0.38,1.400,0.0380,35,111,0.99180,3.320,0.59,11.20,7,62,medium-low,good
white,6.2,0.25,0.25,1.400,0.0300,35,105,0.99120,3.300,0.44,11.10,7,63,medium-low,good
white,6.2,0.25,0.25,1.400,0.0300,35,105,0.99120,3.300,0.44,11.10,7,64,medium-low,good
white,7.0,0.26,0.59,1.400,0.0370,40,120,0.99180,3.340,0.41,11.10,7,65,medium-low,good
white,7.1,0.21,0.37,2.400,0.0260,23,100,0.99030,3.150,0.38,11.40,7,66,medium-low,good
white,6.8,0.21,0.27,2.100,0.0300,26,139,0.99000,3.160,0.61,12.60,7,67,medium,good
white,5.8,0.20,0.27,1.400,0.0310,12,77,0.99050,3.250,0.36,10.90,7,68,medium-low,good
white,5.6,0.24,0.29,1.200,0.0470,33,127,0.99100,3.340,0.50,11.00,7,69,medium-low,good
white,5.6,0.19,0.26,1.400,0.0300,12,76,0.99050,3.250,0.37,10.90,7,70,medium-low,good
white,6.7,0.26,0.39,1.100,0.0400,45,147,0.99350,3.320,0.58,9.60,8,71,"low alcohol content",good
white,5.8,0.17,0.34,1.800,0.0450,96,170,0.99035,3.380,0.90,11.80,8,72,medium,good
white,5.8,0.17,0.34,1.800,0.0450,96,170,0.99035,3.380,0.90,11.80,8,73,medium,good
white,7.1,0.26,0.34,14.400,0.0670,35,189,0.99860,3.070,0.53,9.10,7,74,"low alcohol content",good
white,6.3,0.35,0.30,5.700,0.0350,8,97,0.99270,3.270,0.41,11.00,7,75,medium-low,good
white,7.6,0.52,0.49,14.000,0.0340,37,156,0.99580,3.140,0.38,11.80,7,76,medium,good
white,6.3,0.35,0.30,5.700,0.0350,8,97,0.99270,3.270,0.41,11.00,7,77,medium-low,good
white,5.8,0.32,0.27,1.550,0.0260,15,70,0.98994,3.370,0.40,11.90,8,78,medium,good
white,6.4,0.44,0.44,14.400,0.0480,29,228,0.99955,3.260,0.54,8.80,7,79,"low alcohol content",good
white,8.0,0.44,0.49,9.100,0.0310,46,151,0.99260,3.160,0.27,12.70,8,80,medium,good
white,6.2,0.29,0.32,3.600,0.0260,39,138,0.98920,3.310,0.37,13.10,7,81,medium,good
white,7.0,0.30,0.49,4.700,0.0360,17,105,0.99160,3.260,0.68,12.40,7,82,medium,good
white,7.0,0.24,0.36,2.800,0.0340,22,112,0.99000,3.190,0.38,12.60,8,83,medium,good
white,7.1,0.26,0.34,14.400,0.0670,35,189,0.99860,3.070,0.53,9.10,7,84,"low alcohol content",good
white,7.6,0.39,0.32,3.600,0.0350,22,93,0.99144,3.080,0.60,12.50,7,85,medium,good
white,7.0,0.36,0.32,10.050,0.0450,37,131,0.99352,3.090,0.33,11.70,8,86,medium,good
white,6.1,0.31,0.58,5.000,0.0390,36,114,0.99090,3.300,0.60,12.30,8,87,medium,good
white,7.1,0.26,0.34,14.400,0.0670,35,189,0.99860,3.070,0.53,9.10,7,88,"low alcohol content",good
white,7.1,0.25,0.49,3.000,0.0300,30,96,0.99030,3.130,0.39,12.30,7,89,medium,good
white,7.0,0.36,0.32,10.050,0.0450,37,131,0.99352,3.090,0.33,11.70,8,90,medium,good
white,7.1,0.26,0.34,14.400,0.0670,35,189,0.99860,3.070,0.53,9.10,7,91,"low alcohol content",good
white,7.6,0.52,0.49,14.000,0.0340,37,156,0.99580,3.140,0.38,11.80,7,92,medium,good
white,7.0,0.36,0.32,10.500,0.0450,35,135,0.99350,3.090,0.33,11.60,8,93,medium,good
white,7.2,0.23,0.39,14.200,0.0580,49,192,0.99790,2.980,0.48,9.00,7,94,"low alcohol content",good
white,7.6,0.39,0.32,3.600,0.0350,22,93,0.99144,3.080,0.60,12.50,7,95,medium,good
white,6.5,0.21,0.37,2.500,0.0480,70,138,0.99170,3.330,0.75,11.40,7,96,medium-low,good
white,7.2,0.23,0.39,14.200,0.0580,49,192,0.99790,2.980,0.48,9.00,7,97,"low alcohol content",good
white,8.0,0.34,0.49,9.000,0.0330,39,180,0.99360,3.130,0.38,12.30,8,98,medium,good
white,6.8,0.25,0.34,14.000,0.0320,47,133,0.99520,3.370,0.50,12.20,7,99,medium,good
white,6.5,0.37,0.30,2.200,0.0330,39,107,0.98894,3.220,0.53,13.50,7,100,medium-high,good
white,7.2,0.23,0.39,14.200,0.0580,49,192,0.99790,2.980,0.48,9.00,7,101,"low alcohol content",good
white,6.4,0.22,0.32,7.200,0.0280,15,83,0.99300,3.130,0.55,10.90,8,102,medium-low,good
white,7.1,0.32,0.34,14.500,0.0390,46,150,0.99500,3.380,0.50,12.50,8,103,medium,good
white,6.5,0.37,0.30,2.200,0.0330,39,107,0.98894,3.220,0.53,13.50,7,104,medium-high,good
white,6.9,0.31,0.32,1.600,0.0360,34,114,0.99068,3.190,0.45,11.40,7,105,medium-low,good
white,7.7,0.35,0.49,8.650,0.0330,42,186,0.99310,3.140,0.38,12.40,8,106,medium,good
white,7.2,0.23,0.39,14.200,0.0580,49,192,0.99790,2.980,0.48,9.00,7,107,"low alcohol content",good
white,7.6,0.29,0.49,9.600,0.0300,45,197,0.99380,3.130,0.38,12.30,7,108,medium,good
white,6.7,0.16,0.37,1.300,0.0360,45,125,0.98964,3.190,0.51,12.40,7,109,medium,good
white,6.2,0.28,0.22,7.300,0.0410,26,157,0.99570,3.440,0.64,9.80,7,110,"low alcohol content",good
white,6.8,0.27,0.49,1.200,0.0440,35,126,0.99000,3.130,0.48,12.10,7,111,medium,good
white,5.8,0.32,0.38,4.750,0.0330,23,94,0.99100,3.420,0.42,11.80,7,112,medium,good
white,5.5,0.15,0.32,14.000,0.0310,16,99,0.99437,3.260,0.38,11.50,8,113,medium,good
white,6.4,0.22,0.32,7.200,0.0280,15,83,0.99300,3.130,0.55,10.90,8,114,medium-low,good
white,5.8,0.32,0.38,4.750,0.0330,23,94,0.99100,3.420,0.42,11.80,7,115,medium,good
white,5.8,0.32,0.31,2.700,0.0490,25,153,0.99067,3.440,0.73,12.20,7,116,medium,good
white,7.2,0.19,0.46,3.800,0.0410,82,187,0.99320,3.190,0.60,11.20,7,117,medium-low,good
white,7.4,0.19,0.49,9.300,0.0300,26,132,0.99400,2.990,0.32,11.00,7,118,medium-low,good
white,7.8,0.26,0.31,3.600,0.0250,22,100,0.99066,2.990,0.47,12.10,7,119,medium,good
white,6.2,0.33,0.27,4.900,0.0360,30,134,0.99270,3.200,0.42,10.40,7,120,medium-low,good
white,5.8,0.32,0.31,2.700,0.0490,25,153,0.99067,3.440,0.73,12.20,7,121,medium,good
white,6.8,0.36,0.24,4.600,0.0390,24,124,0.99090,3.270,0.34,12.60,7,122,medium,good
white,5.7,0.32,0.38,4.750,0.0330,23,94,0.99100,3.420,0.42,11.80,7,123,medium,good
white,6.1,0.36,0.27,2.100,0.0350,16,100,0.99170,3.400,0.71,11.50,7,124,medium,good
white,6.8,0.22,0.35,5.500,0.0430,21,114,0.99380,3.300,0.53,10.70,7,125,medium-low,good
white,5.0,0.55,0.14,8.300,0.0320,35,164,0.99180,3.530,0.51,12.50,8,126,medium,good
white,6.7,0.19,0.39,1.000,0.0320,14,71,0.98912,3.310,0.38,13.00,7,127,medium,good
white,6.7,0.17,0.37,2.000,0.0390,34,125,0.99220,3.260,0.60,10.80,7,128,medium-low,good
white,6.7,0.19,0.39,1.000,0.0320,14,71,0.98912,3.310,0.38,13.00,7,129,medium,good
white,7.0,0.17,0.74,12.800,0.0450,24,126,0.99420,3.260,0.38,12.20,8,130,medium,good
white,5.9,0.34,0.22,2.400,0.0300,19,135,0.98940,3.410,0.78,13.90,7,131,medium-high,good
white,6.4,0.14,0.31,1.200,0.0340,53,138,0.99084,3.380,0.35,11.50,7,132,medium,good
white,5.9,0.30,0.47,7.850,0.0300,19,133,0.99330,3.520,0.43,11.50,7,133,medium,good
white,6.4,0.14,0.31,1.200,0.0340,53,138,0.99084,3.380,0.35,11.50,7,134,medium,good
white,9.2,0.18,0.49,1.500,0.0410,39,130,0.99450,3.040,0.49,9.80,7,135,"low alcohol content",good
white,7.2,0.44,0.28,3.400,0.0480,22,112,0.99188,3.210,0.37,11.30,7,136,medium-low,good
white,7.3,0.22,0.49,9.400,0.0340,29,134,0.99390,2.990,0.32,11.00,7,137,medium-low,good
white,6.2,0.21,0.27,1.700,0.0380,41,150,0.99330,3.490,0.71,10.50,7,138,medium-low,good
white,6.0,0.10,0.24,1.100,0.0410,15,65,0.99270,3.610,0.61,10.30,7,139,medium-low,good
white,6.9,0.15,0.29,2.300,0.0330,14,82,0.99132,3.100,0.58,11.20,7,140,medium-low,good
white,7.4,0.19,0.49,9.300,0.0300,26,132,0.99400,2.990,0.32,11.00,7,141,medium-low,good
white,6.4,0.32,0.35,4.800,0.0300,34,101,0.99120,3.360,0.60,12.50,8,142,medium,good
white,6.2,0.21,0.27,1.700,0.0380,41,150,0.99330,3.490,0.71,10.50,7,143,medium-low,good
white,6.6,0.18,0.35,1.500,0.0490,49,141,0.99340,3.430,0.85,10.20,7,144,medium-low,good
white,7.4,0.29,0.50,1.800,0.0420,35,127,0.99370,3.450,0.50,10.20,7,145,medium-low,good
white,7.4,0.20,0.43,7.800,0.0450,27,153,0.99640,3.190,0.55,9.00,7,146,"low alcohol content",good
white,5.8,0.22,0.29,0.900,0.0340,34,89,0.98936,3.140,0.36,11.10,7,147,medium-low,good
white,8.1,0.30,0.49,8.100,0.0370,26,174,0.99430,3.100,0.30,11.20,7,148,medium-low,good
white,6.5,0.22,0.29,7.400,0.0280,16,87,0.99311,3.150,0.56,10.90,7,149,medium-low,good
white,6.6,0.33,0.31,1.300,0.0200,29,89,0.99035,3.260,0.44,12.40,8,150,medium,good
white,5.6,0.34,0.10,1.300,0.0310,20,68,0.99060,3.360,0.51,11.20,7,151,medium-low,good
white,6.9,0.15,0.29,2.300,0.0330,14,82,0.99132,3.100,0.58,11.20,7,152,medium-low,good
white,7.8,0.30,0.40,1.800,0.0280,23,122,0.99140,3.140,0.39,10.90,7,153,medium-low,good
white,6.9,0.33,0.26,5.000,0.0270,46,143,0.99240,3.250,0.43,11.20,7,154,medium-low,good
white,7.5,0.23,0.49,7.700,0.0490,61,209,0.99410,3.140,0.30,11.10,7,155,medium-low,good
white,6.4,0.24,0.31,2.800,0.0380,41,114,0.99155,3.370,0.66,11.70,7,156,medium,good
white,7.3,0.21,0.49,1.800,0.0380,44,152,0.99120,3.320,0.44,12.60,7,157,medium,good
white,5.6,0.18,0.58,1.250,0.0340,29,129,0.98984,3.510,0.60,12.00,7,158,medium,good
white,6.6,0.29,0.31,3.900,0.0270,39,96,0.99035,3.240,0.60,12.60,8,159,medium,good
white,6.9,0.30,0.49,7.600,0.0570,25,156,0.99620,3.430,0.63,11.00,7,160,medium-low,good
white,7.9,0.42,0.49,8.200,0.0560,32,164,0.99650,3.290,0.60,11.20,7,161,medium-low,good
white,6.9,0.33,0.26,5.000,0.0270,46,143,0.99240,3.250,0.43,11.20,7,162,medium-low,good
white,6.9,0.24,0.49,1.300,0.0320,35,148,0.99320,3.450,0.57,10.70,7,163,medium-low,good
white,5.6,0.18,0.58,1.250,0.0340,29,129,0.98984,3.510,0.60,12.00,7,164,medium,good
white,8.8,0.28,0.45,6.000,0.0220,14,49,0.99340,3.010,0.33,11.10,7,165,medium-low,good
white,6.7,0.48,0.32,1.400,0.0210,22,121,0.98890,3.150,0.53,12.70,7,166,medium,good
white,7.1,0.21,0.31,3.800,0.0210,40,142,0.99215,3.170,0.39,10.80,7,167,medium-low,good
white,6.7,0.48,0.32,1.400,0.0210,22,121,0.98890,3.150,0.53,12.70,7,168,medium,good
white,7.1,0.28,0.44,1.800,0.0320,32,107,0.99070,3.250,0.48,12.20,7,169,medium,good
white,4.2,0.17,0.36,1.800,0.0290,93,161,0.98999,3.650,0.89,12.00,7,170,medium,good
white,5.8,0.21,0.32,1.600,0.0450,38,95,0.98946,3.230,0.94,12.40,8,171,medium,good
white,7.1,0.14,0.40,1.200,0.0510,55,136,0.99320,3.300,0.96,9.80,7,172,"low alcohol content",good
white,7.1,0.34,0.49,1.500,0.0270,26,126,0.99000,3.300,0.33,12.20,7,173,medium,good
white,7.1,0.13,0.40,1.200,0.0470,54,134,0.99320,3.300,0.97,9.80,7,174,"low alcohol content",good
white,8.4,0.24,0.49,7.400,0.0390,46,108,0.99340,3.030,0.33,11.90,7,175,medium,good
white,5.4,0.23,0.36,1.500,0.0300,74,121,0.98976,3.240,0.99,12.10,7,176,medium,good
white,7.2,0.21,0.28,2.700,0.0330,38,94,0.99075,2.990,0.43,11.80,7,177,medium,good
white,5.6,0.41,0.24,1.900,0.0340,10,53,0.98815,3.320,0.50,13.50,7,178,medium-high,good
white,6.7,0.11,0.34,8.800,0.0430,41,113,0.99620,3.420,0.40,9.30,7,179,"low alcohol content",good
white,7.1,0.26,0.49,2.200,0.0320,31,113,0.99030,3.370,0.42,12.90,9,180,medium,good
white,6.8,0.48,0.33,3.950,0.0470,16,81,0.98988,3.230,0.53,13.40,7,181,medium,good
white,5.8,0.19,0.49,4.900,0.0400,44,118,0.99350,3.340,0.38,9.50,7,182,"low alcohol content",good
white,7.0,0.28,0.32,7.750,0.0320,30,114,0.99158,3.120,0.64,12.80,7,183,medium,good
white,5.2,0.29,0.29,5.150,0.0350,64,138,0.98950,3.190,0.34,12.40,8,184,medium,good
white,6.7,0.11,0.34,8.800,0.0430,41,113,0.99620,3.420,0.40,9.30,7,185,"low alcohol content",good
white,6.2,0.16,0.34,1.700,0.0380,85,153,0.99090,3.330,0.86,12.00,7,186,medium,good
white,8.1,0.20,0.49,11.800,0.0480,46,212,0.99680,3.090,0.46,10.00,7,187,medium-low,good
white,6.8,0.12,0.31,5.200,0.0450,29,120,0.99420,3.410,0.46,9.80,7,188,"low alcohol content",good
white,6.5,0.22,0.32,2.200,0.0280,36,92,0.99076,3.270,0.59,11.90,7,189,medium,good
white,6.6,0.16,0.57,1.100,0.1300,58,140,0.99270,3.120,0.39,9.30,7,190,"low alcohol content",good
white,6.6,0.21,0.60,1.100,0.1350,61,144,0.99270,3.120,0.39,9.30,7,191,"low alcohol content",good
white,6.4,0.25,0.32,0.900,0.0340,40,114,0.99114,3.310,0.58,10.80,7,192,medium-low,good
white,7.8,0.26,0.49,3.200,0.0270,28,87,0.99190,3.030,0.32,11.30,7,193,medium-low,good
white,6.5,0.22,0.32,2.200,0.0280,36,92,0.99076,3.270,0.59,11.90,7,194,medium,good
white,7.1,0.36,0.40,1.950,0.0330,26,118,0.98934,3.200,0.45,13.50,7,195,medium-high,good
white,8.0,0.14,0.49,1.500,0.0350,42,120,0.99280,3.260,0.40,10.60,7,196,medium-low,good
white,6.3,0.12,0.36,2.100,0.0440,47,146,0.99140,3.270,0.74,11.40,7,197,medium-low,good
white,6.5,0.44,0.47,5.450,0.0140,44,137,0.98984,3.130,0.32,13.00,8,198,medium,good
white,9.1,0.27,0.45,10.600,0.0350,28,124,0.99700,3.200,0.46,10.40,9,199,medium-low,good
white,6.2,0.22,0.49,6.000,0.0290,31,128,0.99280,3.410,0.36,11.30,8,200,medium-low,good
white,5.2,0.16,0.33,1.600,0.0280,13,59,0.98975,3.300,0.84,11.90,8,201,medium,good
white,7.3,0.33,0.40,6.850,0.0380,32,138,0.99200,3.030,0.30,11.90,7,202,medium,good
white,7.8,0.26,0.49,3.200,0.0270,28,87,0.99190,3.030,0.32,11.30,7,203,medium-low,good
white,7.3,0.33,0.40,6.850,0.0380,32,138,0.99200,3.030,0.30,11.90,7,204,medium,good
white,6.9,0.22,0.37,15.000,0.0530,59,178,0.99920,3.370,0.82,9.50,7,205,"low alcohol content",good
white,6.8,0.16,0.40,2.300,0.0370,18,102,0.99230,3.490,0.42,11.40,7,206,medium-low,good
white,6.0,0.26,0.32,3.500,0.0280,29,113,0.99120,3.400,0.71,12.30,7,207,medium,good
white,9.0,0.17,0.49,1.000,0.0390,46,131,0.99300,3.090,0.51,10.50,7,208,medium-low,good
white,8.1,0.17,0.44,14.100,0.0530,43,145,1.00060,3.280,0.75,8.80,8,209,"low alcohol content",good
white,7.1,0.28,0.49,6.500,0.0410,28,111,0.99260,3.410,0.58,12.20,8,210,medium,good
white,5.1,0.33,0.22,1.600,0.0270,18,89,0.98930,3.510,0.38,12.50,7,211,medium,good
white,6.9,0.22,0.37,15.000,0.0530,59,178,0.99920,3.370,0.82,9.50,7,212,"low alcohol content",good
white,8.1,0.17,0.44,14.100,0.0530,43,145,1.00060,3.280,0.75,8.80,8,213,"low alcohol content",good
white,7.4,0.19,0.49,6.700,0.0370,15,110,0.99380,3.200,0.38,11.00,7,214,medium-low,good
white,5.1,0.33,0.22,1.600,0.0270,18,89,0.98930,3.510,0.38,12.50,7,215,medium,good
white,7.3,0.19,0.49,15.550,0.0580,50,134,0.99980,3.420,0.36,9.10,7,216,"low alcohol content",good
white,5.8,0.34,0.16,7.000,0.0370,26,116,0.99490,3.460,0.45,10.00,7,217,medium-low,good
white,8.1,0.30,0.49,12.300,0.0490,50,144,0.99710,3.090,0.57,10.20,7,218,medium-low,good
white,5.9,0.24,0.30,2.000,0.0330,28,92,0.99225,3.390,0.69,10.90,7,219,medium-low,good
white,6.4,0.31,0.28,1.500,0.0370,12,119,0.99190,3.320,0.51,10.40,7,220,medium-low,good
white,5.9,0.24,0.30,2.000,0.0330,28,92,0.99225,3.390,0.69,10.90,7,221,medium-low,good
white,7.3,0.20,0.44,1.400,0.0450,21,98,0.99240,3.150,0.46,10.00,7,222,medium-low,good
white,6.4,0.31,0.28,1.500,0.0370,12,119,0.99190,3.320,0.51,10.40,7,223,medium-low,good
white,6.0,0.18,0.31,1.400,0.0360,14,75,0.99085,3.340,0.58,11.10,8,224,medium-low,good
white,6.6,0.21,0.31,11.400,0.0390,46,165,0.99795,3.410,0.44,9.80,7,225,"low alcohol content",good
white,7.0,0.31,0.31,9.100,0.0360,45,140,0.99216,2.980,0.31,12.00,7,226,medium,good
white,7.3,0.19,0.49,15.550,0.0580,50,134,0.99980,3.420,0.36,9.10,7,227,"low alcohol content",good
white,7.0,0.31,0.31,9.100,0.0360,45,140,0.99216,2.980,0.31,12.00,7,228,medium,good
white,7.3,0.20,0.44,1.400,0.0450,21,98,0.99240,3.150,0.46,10.00,7,229,medium-low,good
white,5.6,0.21,0.40,1.300,0.0410,81,147,0.99010,3.220,0.95,11.60,8,230,medium,good
white,7.5,0.24,0.49,9.400,0.0480,50,149,0.99620,3.170,0.59,10.50,7,231,medium-low,good
white,6.6,0.36,0.29,1.600,0.0210,24,85,0.98965,3.410,0.61,12.40,9,232,medium,good
white,5.2,0.16,0.33,1.600,0.0280,13,59,0.98975,3.300,0.84,11.90,8,233,medium,good
white,6.0,0.36,0.39,3.200,0.0270,20,125,0.99100,3.380,0.39,11.30,7,234,medium-low,good
white,7.8,0.21,0.49,1.200,0.0360,20,99,0.99000,3.050,0.28,12.10,7,235,medium,good
white,7.0,0.12,0.29,10.300,0.0390,41,98,0.99564,3.190,0.38,9.80,8,236,"low alcohol content",good
white,7.4,0.24,0.36,2.000,0.0310,27,139,0.99055,3.280,0.48,12.50,9,237,medium,good
white,7.1,0.16,0.36,10.700,0.0440,20,90,0.99590,3.160,0.44,10.90,7,238,medium-low,good
white,7.0,0.12,0.29,10.300,0.0390,41,98,0.99564,3.190,0.38,9.80,8,239,"low alcohol content",good
white,5.1,0.33,0.22,1.600,0.0270,18,89,0.98930,3.510,0.38,12.50,7,240,medium,good
white,7.1,0.16,0.36,1.200,0.0430,21,90,0.99250,3.160,0.42,11.00,7,241,medium-low,good
white,7.6,0.31,0.49,3.950,0.0440,27,131,0.99120,3.080,0.67,12.80,7,242,medium,good
white,5.0,0.17,0.56,1.500,0.0260,24,115,0.99060,3.480,0.39,10.80,7,243,medium-low,good
white,7.0,0.12,0.29,10.300,0.0390,41,98,0.99564,3.190,0.38,9.80,8,244,"low alcohol content",good
white,6.7,0.21,0.49,1.400,0.0470,30,114,0.99140,2.920,0.42,10.80,7,245,medium-low,good
white,4.9,0.33,0.31,1.200,0.0160,39,150,0.98713,3.330,0.59,14.00,8,246,medium-high,good
white,7.0,0.30,0.38,14.900,0.0320,60,181,0.99830,3.180,0.61,9.30,7,247,"low alcohol content",good
white,7.3,0.30,0.34,2.700,0.0440,34,108,0.99105,3.360,0.53,12.80,8,248,medium,good
white,6.4,0.29,0.30,2.900,0.0360,25,79,0.99037,3.290,0.60,12.40,7,249,medium,good
white,7.3,0.40,0.26,5.450,0.0160,26,90,0.98951,2.840,0.54,13.20,7,250,medium,good
white,7.0,0.30,0.38,14.900,0.0320,60,181,0.99830,3.180,0.61,9.30,7,251,"low alcohol content",good
white,7.5,0.42,0.34,4.300,0.0400,34,108,0.99155,3.140,0.45,12.80,8,252,medium,good
